reference_index,title
1,"Gestational diabetes mellitus and development of intergenerational overall and subtypes of cardiovascular diseases: a systematic review and meta-analysis"
2,"Gestational diabetes mellitus and development of intergenerational non-alcoholic fatty liver disease (NAFLD) after delivery: a systematic review and meta-analysis"
3,"Comparative efficacy and acceptability of non-surgical brain stimulation for the acute treatment of major depressive episodes in adults: systematic review and network meta-analysis"
4,"Environmental toxic metal contaminants and risk of cardiovascular disease: systematic review and meta-analysis"
5,"Association Between Plant-Based Dietary Patterns and Risk of Type 2 Diabetes"
6,"The association of atherogenic index of plasma with cardiovascular outcomes in patients with coronary artery disease: A systematic review and meta-analysis"
7,"Genetic Polymorphisms and Clopidogrel Efficacy for Acute Ischemic Stroke or Transient Ischemic Attack: A Systematic Review and Meta-Analysis"
8,"Efficacy of Grass Pollen Allergen Sublingual Immunotherapy Tablets for Seasonal Allergic Rhinoconjunctivitis: A Systematic Review and Meta-analysis"
9,"Diagnostic Performance of Random Urine Samples Using Albumin Concentration vs Ratio of Albumin to Creatinine for Microalbuminuria Screening in Patients With Diabetes Mellitus"
10,"Effect of Anti-inflammatory Treatment on Depression, Depressive Symptoms, and Adverse Effects: A Systematic Review and Meta-analysis of Randomized Clinical Trials"
11,"Efficacy and safety of bempedoic acid for the treatment of hypercholesterolemia: A systematic review and meta-analysis"
12,"Association of puberty timing with type 2 diabetes: A systematic review and meta-analysis"
13,"Psychiatric Comorbidities in Persons With Epilepsy Compared With Persons Without Epilepsy"
14,"Quantification of glucose-6-phosphate dehydrogenase activity by spectrophotometry: A systematic review and meta-analysis"
15,"Preoperative/Neoadjuvant Therapy in Pancreatic Cancer: A Systematic Review and Meta-analysis of Response and Resection Percentages"
